Name,vRAM,vCPUs,RAM (GB),Price,Regions
C1,,1,0.5,$0.0045/hr,"AMS1, NY2, CA1"
C2,,1,1,$0.009/hr,"AMS1, NY2, CA1"
C3,,2,2,$0.018/hr,"AMS1, NY2, CA1"
C4,,2,4,$0.04/hr,"AMS1, NY2, CA1"
C5,,4,8,$0.08/hr,"AMS1, NY2, CA1"
C6,,8,16,$0.16/hr,"AMS1, NY2, CA1"
C7,,12,30,$0.30/hr,"AMS1, NY2, CA1"
C8,,16,60,$0.60/hr,"AMS1, NY2, CA1"
C9,,24,120,$0.90/hr,"AMS1, NY2, CA1"
C10,,32,244,$1.60/hr,"AMS1, NY2, CA1"
GPU+,8,8,30,$0.45/hr,"NY2, CA1"
P4000,8,8,30,$0.51/hr,"AMS1, NY2, CA1"
P5000,16,8,30,$0.78/hr,"AMS1, NY2, CA1"
P6000,24,8,30,$1.10/hr,"AMS1, NY2, CA1"
RTX4000,8,8,30,$0.56/hr,"AMS1, NY2, CA1"
RTX5000,16,8,30,$0.82/hr,NY2
A4000,16,8,45,$0.76/hr,NY2
A5000,24,8,45,$1.38/hr,NY2
A6000,48,8,45,$1.89/hr,NY2
V100,16,8,30,$2.30/hr,"NY2, CA1"
V100-32G,32,8,30,$2.30/hr,NY2
A100,40,12,90,$3.09/hr,NY2
A100-80G,80,12,90,$3.19/hr,NY2